Tiempo (s)	Clientes	Heurístico (M)	Nodos expandidos	Semilla
27	951	1,234003	396	47
11	924	1,15254	249	243
16	932	1,15953	333	5
31	980	1,30962	534	245
21	951	1,28814	438	313
