Tiempo (s)	Clientes	Heurístico (M)	Nodos expandidos	Semilla
74	1000	1,346479	1034	47
25	959	1,22742	509	243
24	980	1,25193	573	5
164	1000	1,30184	938	245
31	988	1,31718	729	313
