Tiempo (s)	Clientes	Heurístico (M)	Nodos expandidos	Semilla
164	1000	1,333817	1103	351716896
80	973	1,29082	945	26711345
196	1000	1,29901	946	-831157754
200	1000	1,29981	1005	726036
228	1000	1,40687	943	174081775
151	1000	1,36424	1071	-1800468193
49	959	1,24836	767	44569704
61	971	1,24651	794	-1894025117
258	1000	1,36068	1052	-1184119069
158	1000	1,401772	1035	-1600185119
