seed	k	lambda	beneficio	tiempo (ms)
438	15	0,001	1223001	443.0
438	15	0,0005	1220757	228.0
438	15	0,0001	1219281	189.0
438	30	0,001	1218127	190.0
438	30	0,0005	1219587	124.0
438	30	0,0001	1219751	127.0
438	60	0,001	1218801	112.0
438	60	0,0005	1220125	111.0
438	60	0,0001	1221575	130.0
438	90	0,001	1221672	136.0
438	90	0,0005	1218204	139.0
438	90	0,0001	1221766	170.0
43	15	0,001	1357345	383.0
43	15	0,0005	1352924	225.0
43	15	0,0001	1359378	244.0
43	30	0,001	1359787	158.0
43	30	0,0005	1350999	151.0
43	30	0,0001	1357981	119.0
43	60	0,001	1353115	132.0
43	60	0,0005	1359490	139.0
43	60	0,0001	1353636	131.0
43	90	0,001	1360542	130.0
43	90	0,0005	1352884	140.0
43	90	0,0001	1352691	123.0
58	15	0,001	1224290	469.0
58	15	0,0005	1210546	300.0
58	15	0,0001	1206855	250.0
58	30	0,001	1228095	262.0
58	30	0,0005	1211448	223.0
58	30	0,0001	1228651	189.0
58	60	0,001	1210896	261.0
58	60	0,0005	1206497	183.0
58	60	0,0001	1227738	190.0
58	90	0,001	1236941	196.0
58	90	0,0005	1232401	194.0
58	90	0,0001	1219561	205.0
42	15	0,001	1278854	359.0
42	15	0,0005	1278499	240.0
42	15	0,0001	1280487	192.0
42	30	0,001	1279141	185.0
42	30	0,0005	1279247	126.0
42	30	0,0001	1277668	124.0
42	60	0,001	1277576	141.0
42	60	0,0005	1278079	150.0
42	60	0,0001	1279858	130.0
42	90	0,001	1277280	134.0
42	90	0,0005	1276483	156.0
42	90	0,0001	1280237	137.0
181	15	0,001	1318497	360.0
181	15	0,0005	1312908	187.0
181	15	0,0001	1313270	157.0
181	30	0,001	1314186	152.0
181	30	0,0005	1314674	122.0
181	30	0,0001	1319523	121.0
181	60	0,001	1318839	122.0
181	60	0,0005	1318568	108.0
181	60	0,0001	1313278	108.0
181	90	0,001	1320051	120.0
181	90	0,0005	1330880	112.0
181	90	0,0001	1319643	108.0
328	15	0,001	1398605	380.0
328	15	0,0005	1399852	254.0
328	15	0,0001	1404561	178.0
328	30	0,001	1392025	219.0
328	30	0,0005	1397970	183.0
328	30	0,0001	1395493	158.0
328	60	0,001	1403936	149.0
328	60	0,0005	1399653	176.0
328	60	0,0001	1400343	152.0
328	90	0,001	1405138	161.0
328	90	0,0005	1396533	157.0
328	90	0,0001	1407399	143.0
